major_name,median_earnings_1yr,median_earnings_5yr,median_growth,median_growth_pct,earnings_variation,school_count,earnings_rank,growth_rank,consistency_rank,low_earnings_flag,high_growth_flag
Metallurgical Engineering.,78984,93398,14926,0.18897498227489112,10148.5,3,29,205,107,FALSE,FALSE
Microbiological Sciences and Immunology.,37610,65144,27755,0.7383219834007235,9158,45,126,42,85,FALSE,TRUE
"Middle/Near Eastern and Semitic Languages, Literatures, and Linguistics.",48355,77090,8898,0.1840140626615655,19837,2,81,257,242,FALSE,FALSE
Military Applied Sciences.,NA,50150,NA,NA,0,1,221,NA,1,FALSE,NA
Mining and Mineral Engineering.,84603,94923,18934.5,0.23832362113813893,9202,7,25,139,86,FALSE,FALSE
Mining and Petroleum Technologies/Technicians.,52842,71690,18848,0.35668596949396314,0,1,99,140,1,FALSE,FALSE
Missions/Missionary Studies and Missiology.,26236,30171,6222,0.2371550541241043,3228.5,3,291,272,12,TRUE,FALSE
"Multi-/Interdisciplinary Studies, General.",37282,48160,12637,0.319681254743233,9638.5,43,240,229,95,TRUE,FALSE
"Multi/Interdisciplinary Studies, Other.",39562,54209,12766,0.327867266482852,13869.5,195,188,226,181,FALSE,FALSE
Music.,26084,40932,12751,0.4798953280571866,11952.25,238,276,227,155,TRUE,FALSE
Natural Resources Conservation and Research.,33976,54801,20841,0.611114927526276,12435,223,181,113,160,FALSE,FALSE
Natural Resources Management and Policy.,37126,55165.5,15496,0.3646975759002118,17478.75,28,177,198,225,FALSE,FALSE
"Natural Resources and Conservation, Other.",29139,43168,14029,0.4814509763547136,5465.5,3,265,216,31,TRUE,FALSE
Natural Sciences.,27594,65682,30304.5,1.3582287612559907,28402,11,123,30,265,FALSE,TRUE
Naval Architecture and Marine Engineering.,96291.5,117114,21092.5,0.22861948751518657,23099,5,4,109,254,FALSE,FALSE
Neurobiology and Neurosciences.,29765,67210,37434,1.2862833033369725,10573.5,63,114,7,112,FALSE,TRUE
Non-Professional General Legal Studies (Undergraduate).,39838,62159,24794,0.6249032676801718,10750.5,38,145,71,115,FALSE,TRUE
Nuclear Engineering Technologies/Technicians.,101386,122503,21117,0.20828319491843056,0,1,3,108,1,FALSE,FALSE
Nuclear Engineering.,73724,97907,23907,0.3056457592881434,6636.5,11,19,77,41,FALSE,FALSE
Nursing.,NA,82934,NA,NA,0,1,58,NA,1,FALSE,NA
Nutrition Sciences.,30310.5,55472.5,27155,0.9100091979790692,7300.25,38,174,47,50,FALSE,TRUE
Ocean Engineering.,69707,91200,21894,0.31324780974622124,5468.5,4,38,98,32,FALSE,FALSE
Operations Research.,84517.5,137492,52974.5,0.6364643575340093,50874.5,4,2,3,272,FALSE,TRUE
"Parks, Recreation and Leisure Facilities Management.",32620,47086.5,14179,0.4297708535402522,9210.25,52,248,214,87,TRUE,FALSE
"Parks, Recreation and Leisure Studies.",34742,50444,16234,0.4729807771636004,11447,51,215,180,140,FALSE,FALSE
"Parks, Recreation, Leisure, and Fitness Studies, Other.",27129,47311,18108,0.6200732801424511,4374,3,246,154,21,TRUE,FALSE
Pastoral Counseling and Specialized Ministries.,33745,40556,8048,0.23899873069764907,7986,23,278,260,65,TRUE,FALSE
Peace Studies and Conflict Resolution.,40929,75726,25081,0.6703819527971561,14320,5,83,67,190,FALSE,TRUE
Petroleum Engineering.,69212,99276,36357,0.6195370234424705,15899,19,16,11,207,FALSE,TRUE
Pharmacology and Toxicology.,39202,94657.5,58352,1.4802262753354811,11199.75,4,26,2,131,FALSE,TRUE
"Pharmacy, Pharmaceutical Sciences, and Administration.",47882,100306,38246,0.7327298795971601,59116,23,13,6,274,FALSE,TRUE
"Philosophy and Religious Studies, Other.",NA,46290,NA,NA,4884,2,253,NA,26,TRUE,NA
Philosophy.,32513,55073,20879,0.6403937447640324,14255.75,82,178,112,189,FALSE,FALSE
"Physical Sciences, Other.",35464,57683.5,12702,0.35816602752086624,9517.5,2,167,228,93,FALSE,FALSE
Physical Sciences.,41421,71673.5,23185,0.5597402283865672,7067.5,2,100,83,47,FALSE,FALSE
Physics.,44011.5,80618,36366.5,0.8695432465261178,14424,53,67,10,192,FALSE,TRUE
"Physiology, Pathology and Related Sciences.",30559.5,66354,34556,1.1320680828223013,13414,60,118,15,174,FALSE,TRUE
