major_name,median_earnings_1yr,median_earnings_5yr,median_growth,median_growth_pct,earnings_variation,school_count,earnings_rank,growth_rank,consistency_rank,low_earnings_flag,high_growth_flag
Animal Sciences.,34467,52790,18740,0.5131344612644702,9922.5,79,196,142,103,FALSE,FALSE
Anthropology.,27844,45600.5,17730,0.6347555806725064,11288.25,178,256,160,135,TRUE,FALSE
Apparel and Textiles.,37329,54897,17212,0.44767809384877216,7776.75,48,180,168,59,FALSE,FALSE
Applied Horticulture and Horticultural Business Services.,45520,55006,11829,0.26044916836834087,9356,9,179,238,89,FALSE,FALSE
Applied Mathematics.,58358,89979.5,34897,0.560374171982604,16302.25,32,42,14,214,FALSE,TRUE
Archeology.,29547,41084,11537,0.39046265272278063,0,1,275,244,1,TRUE,FALSE
Architectural Engineering Technologies/Technicians.,50342,65093.5,17352,0.2683842517182472,12536,8,127,167,162,FALSE,FALSE
Architectural Engineering.,73800.5,90781.5,15692.5,0.20004695806738887,9362.75,12,39,195,90,FALSE,FALSE
Architectural Sciences and Technology.,49148,64280,16057.5,0.32998332973741373,8178.25,8,133,188,67,FALSE,FALSE
"Architecture and Related Services, Other.",25676,58358,37232,1.450070104377629,5092.25,4,163,8,28,FALSE,TRUE
Architecture.,46551,67661.5,20090,0.4270595093950401,8898.75,92,111,122,79,FALSE,FALSE
Area Studies.,35563,59136,23068,0.6577895827880603,15930,65,157,87,209,FALSE,FALSE
"Arts, Entertainment,and Media Management.",27444,42388,15742,0.5712130174524896,8315,37,269,193,68,TRUE,FALSE
Astronomy and Astrophysics.,42397,61537.5,19140.5,0.45636254558781186,584.5,2,149,137,2,FALSE,FALSE
Atmospheric Sciences and Meteorology.,41474.5,60516,18517.5,0.43911489872638276,7477,12,152,144,53,FALSE,FALSE
Audiovisual Communications Technologies/Technicians.,22664,38947,17352,0.7713995764207554,11161,33,283,167,129,TRUE,FALSE
Behavioral Sciences.,38087,43712,5625,0.14768818757056212,5194.5,19,264,273,29,TRUE,FALSE
Bible/Biblical Studies.,34516,42261,9157,0.29567285755324046,9223,43,270,256,88,TRUE,FALSE
"Bilingual, Multilingual, and Multicultural Education.",56102.5,58147,268,0.00454717842554119,10927.5,3,165,282,122,FALSE,FALSE
Biochemical Engineering.,70668,99194,28526,0.4036621950529235,0,1,17,36,1,FALSE,TRUE
"Biochemistry, Biophysics and Molecular Biology.",38484,68666,31532,0.8489002801454372,11050,108,110,24,124,FALSE,TRUE
Bioethics/Medical Ethics.,NA,63986,NA,NA,0,1,135,NA,1,FALSE,NA
"Biological and Biomedical Sciences, Other.",32377,65877.5,29993,1.194202003038027,18737,14,121,32,233,FALSE,TRUE
Biological and Physical Sciences.,34541.5,64994,28431.5,0.8652699009348822,12429.25,24,128,37,159,FALSE,TRUE
Biological/Biosystems Engineering.,59050,75689,17105,0.28418341917262,2980.25,6,84,169,10,FALSE,FALSE
"Biology, General.",32145,60702.5,28548,0.8633646928610957,14077.75,854,151,35,186,FALSE,TRUE
"Biomathematics, Bioinformatics, and Computational Biology.",76592,138331,61739,0.8060763526216838,22860,3,1,1,253,FALSE,TRUE
Biomedical/Medical Engineering.,66075,94444,28412,0.4293454407869845,16123,93,27,38,212,FALSE,TRUE
Biopsychology.,43343,59131,15788,0.36425720416214846,0,1,158,192,1,FALSE,FALSE
Biotechnology.,49615,74420.5,25810,0.5202055829890154,20496.75,14,89,60,246,FALSE,TRUE
Botany/Plant Biology.,30713,35390,21511,0.7003874580796405,0,7,285,104,1,TRUE,FALSE
"Building/Construction Finishing, Management, and Inspection.",71202,96950,24460,0.35580393682826356,13873.75,6,23,74,182,FALSE,FALSE
"Business Administration, Management and Operations.",46431,62344,16083,0.34483984861185196,16000,1230,144,185,210,FALSE,FALSE
Business Operations Support and Assistant Services.,12719.5,21939,9448,0.9022898877009484,4049.75,12,293,254,16,TRUE,FALSE
"Business, Management, Marketing, and Related Support Services, Other.",50740,64911.5,20142,0.44771383523847064,20041,38,130,121,244,FALSE,FALSE
"Business/Commerce, General.",47841.5,64524,15467.5,0.33786036175072537,11310,255,132,199,137,FALSE,FALSE
Business/Corporate Communications.,41988,59892,18152,0.4264075450128608,10838,13,155,153,118,FALSE,FALSE
Business/Managerial Economics.,53219,79847,30340,0.6295122565480188,21956,73,73,29,251,FALSE,TRUE
Cell/Cellular Biology and Anatomical Sciences.,35393,70503,35811,0.9585074538395424,13664,35,104,12,180,FALSE,TRUE
Chemical Engineering.,73092,97080,23968,0.3278182482920723,13255,153,22,76,170,FALSE,FALSE
Chemistry.,42660,67259,27018,0.6417571320373643,9914,211,113,51,102,FALSE,TRUE
"City/Urban, Community and Regional Planning.",42823.5,65382,19649,0.47501723551454805,10923,15,124,131,121,FALSE,FALSE
Civil Engineering Technologies/Technicians.,58970,78052.5,16001,0.2558031717610948,4373.5,14,76,189,20,FALSE,FALSE
Civil Engineering.,69549,85896.5,17033,0.24712569062765977,10035.75,216,49,171,105,FALSE,FALSE
Classical and Ancient Studies.,32054,48874.5,19370,0.6042927559742933,2549.5,2,235,133,8,TRUE,FALSE
"Classics and Classical Languages, Literatures, and Linguistics.",NA,46895,NA,NA,1131,3,250,NA,4,TRUE,NA
"Clinical, Counseling and Applied Psychology.",33805,49634,18098,0.6301518438177874,9128.5,55,226,155,84,TRUE,FALSE
Clinical/Medical Laboratory Science/Research and Allied Professions.,65673,72142,6590,0.10301786142411892,7666,73,97,271,57,FALSE,FALSE
Cognitive Science.,41362,74188.5,25213,0.5590545082792484,14669,10,90,64,196,FALSE,TRUE
Communication Disorders Sciences and Services.,24952,58901.5,32862,1.2711006076975018,9815.5,206,160,17,100,FALSE,TRUE
Communication and Media Studies.,35577,52801,18057,0.5205531173464089,12766.5,623,195,157,167,FALSE,FALSE
"Communication, Journalism, and Related Programs, Other.",34432,51878,20251,0.6711530456500624,17854,24,202,117,228,FALSE,FALSE
"Communications Technologies/Technicians and Support Services, Other.",30890.5,53368,11663.5,0.3601817517489738,10850.5,3,192,242,119,FALSE,FALSE
Communications Technology/Technician.,17883,39852.5,21969.5,1.1871613481661645,15223.5,2,279,97,203,TRUE,FALSE
Community Organization and Advocacy.,40541.5,49649,6951,0.17947614264669165,11859.25,18,225,268,153,TRUE,FALSE
Computer Engineering Technologies/Technicians.,48829,81090,32261,0.6606934403735485,1820.25,26,62,19,6,FALSE,TRUE
Computer Engineering.,79276,107580,28181.5,0.35515503342745713,19287.5,143,7,41,239,FALSE,TRUE
Computer Programming.,50242,80716,30344,0.5399010406833938,14694.5,34,64,28,199,FALSE,TRUE
Computer Science.,73145,104292,31733,0.44298231706672586,31517,267,9,22,268,FALSE,TRUE
Computer Software and Media Applications.,32505,52507.5,15438,0.4454863829851968,19961.75,74,198,200,243,FALSE,FALSE
Computer Systems Analysis.,51805,74585,22780,0.43972589518386257,11761,35,88,89,150,FALSE,FALSE
Computer Systems Networking and Telecommunications.,60540,73315,12775,0.21101750908490255,6228,49,91,225,37,FALSE,FALSE
"Computer and Information Sciences and Support Services, Other.",61890,75090,32264,0.4079403211531167,13544.5,7,86,18,176,FALSE,TRUE
